,batch-size,temperature,weight_decay,color_jitter,resnet_depth,regularization_loss,label_top_1_accuracy,label_top_5_accuracy,global_step
31,512,0.25,0.0001,0.25,18,0.0093,0.833,0.994,9800
30,512,0.25,0.0001,0.5,18,0.0089,0.832,0.993,9800
29,512,0.25,0.0001,0.75,18,0.0086,0.831,0.994,9800
28,512,0.25,0.0001,1.0,18,0.008,0.83,0.992,9800
27,512,0.5,0.0001,0.25,18,0.0136,0.819,0.993,9800
26,512,0.5,0.0001,0.5,18,0.0124,0.822,0.993,9800
25,512,0.5,0.0001,0.75,18,0.0121,0.821,0.993,9800
24,512,0.5,0.0001,1.0,18,0.0118,0.817,0.992,9800
23,512,0.75,0.0001,0.25,18,0.0161,0.809,0.993,9800
22,512,0.75,0.0001,0.5,18,0.015,0.812,0.993,9800
21,512,0.75,0.0001,0.75,18,0.0141,0.805,0.99,9800
20,512,0.75,0.0001,1.0,18,0.0137,0.793,0.99,9800
19,512,1.0,0.0001,0.25,18,0.017,0.798,0.99,9800
18,512,1.0,0.0001,0.5,18,0.0163,0.797,0.99,9800
17,512,1.0,0.0001,0.75,18,0.016,0.793,0.99,9800
16,512,1.0,0.0001,1.0,18,0.0155,0.782,0.989,9800
15,1024,0.25,0.0001,0.25,18,0.0103,0.836,0.993,4900
14,1024,0.25,0.0001,0.5,18,0.0097,0.839,0.995,4900
13,1024,0.25,0.0001,0.75,18,0.0093,0.841,0.995,4900
12,1024,0.25,0.0001,1.0,18,0.009,0.835,0.993,4900
11,1024,0.5,0.0001,0.25,18,0.0149,0.822,0.993,4900
10,1024,0.5,0.0001,0.5,18,0.0133,0.827,0.994,4900
9,1024,0.5,0.0001,0.75,18,0.0132,0.826,0.994,4900
8,1024,0.5,0.0001,1.0,18,0.0128,0.82,0.993,4900
7,1024,0.75,0.0001,0.25,18,0.0168,0.814,0.991,4900
6,1024,0.75,0.0001,0.5,18,0.0166,0.816,0.992,4900
5,1024,0.75,0.0001,0.75,18,0.0157,0.813,0.993,4900
4,1024,0.75,0.0001,1.0,18,0.0153,0.802,0.989,4900
3,1024,1.0,0.0001,0.25,18,0.0175,0.806,0.991,4900
2,1024,1.0,0.0001,0.5,18,0.0174,0.802,0.992,4900
1,1024,1.0,0.0001,0.75,18,0.017,0.794,0.99,4900
0,1024,1.0,0.0001,1.0,18,0.0164,0.79,0.989,4900
